IdCliente,Nombre,FechaNacimiento,Genero,Nacionalidad,ProvinciaResidencia,Estudios,TipoCliente
43,"Palomo, Chad",1971-02-04,F,NA,Ciudad Real,Primario,nuevo
44,"Lu, Cassandra",1941-12-25,f,ES,Badajoz,Universitario,vip
45,"Evans, Gabrielle",1966-06-03,m,ES,Lérida,Universitario,vip
46,"Arguello, Jairo",1976-09-29,f,ES,Las Palmas,Primario,V I P
47,"Morgan, Hannah",1993-12-05,m,Mm,Guadalajara,Secundario,COMUN
48,"el-Saeed, Qais",1953-01-05,F,ES,Gerona,PreUniversitario,vip
49,"al-Badour, Anas",1968-02-15,M,NC,zaragoza,Primario,COMUN
50,"al-Dawood, Jannat",1979-06-20,F,ES,Caceres,Universitario,vip
51,"Garnier, Geodice",1942-02-03,m,ES,BURGOS,PreUniversitario,VIP
52,"Curry, Montago",1943-08-19,f,ES,Valladolid,PreUniversitario,vip
53,"Greene, Brittany",1946-09-06,M,bt,islas balears,Secundario,Común
54,"Riley, Javon",1955-11-25,f,ES,Burgos,Secundario,VIP
55,"Quenzer, Savannah",1956-04-18,f,NA,CUENCA,Primario,vip
56,"al-Jan, Yoosuf",1973-06-14,f,ES,Lerida,Primario,Común
57,"Olvera, Brenda",1963-06-05,F,ES,GUIPÚZCOA,PreUniversitario,COMUN
58,"Maestas, Frankie",1990-05-05,F,ES,Navarra,Primario,vip
59,"Carroll, Victor",1967-04-06,F,H.N.,Tarragona,Secundario,nuevo
60,"Sago, Antoine",1966-05-09,m,ES,pontevedra,Universitario,NUEVO
61,"Berrier, Andrew",1973-08-16,m,gi,Córdoba,PreUniversitario,nuevo
62,"Green, Shailee",1975-06-06,F,ES,Orense,Secundario,Común
63,"Pham, Samantha",1956-04-11,f,ES,ÁVILA,Primario,vip
64,"Nack, Makenzie",1961-05-26,f,ES,VALLADOLID,Primario,Comun
65,"Sakai, Dana",1942-01-18,F,gw,Orense,Primario,Comun
66,"Alvey, Hayden",1943-09-25,f,ES,Murcia,PreUniversitario,Comun
67,"Muralla, July",1941-12-31,M,K.E.,Guipuzcoa,Primario,vip
68,"Davis, Alon'E",1940-06-14,m,ES,alicante,Primario,V I P
69,"Mertes, Eric",1958-11-24,M,ES,Murcia,PreUniversitario,NUEVO
70,"Peterson, Tarin",1948-02-09,F,ES,Jaen,PreUniversitario,nuevo
71,"Pham, Ginger",1949-06-30,F,MX,Gerona,PreUniversitario,Común
72,"Victorino, Remy",1942-07-07,m,ES,albacete,Primario,V I P
73,"Akiyama, Vinh",1974-01-14,m,JM,LA RIOJA,PreUniversitario,vip
74,"al-Aboud, Razeen",1963-06-12,F,ES,Guipuzcoa,Secundario,Común
75,"al-Mohamed, Faarooq",1980-06-20,F,ES,Orense,Universitario,V.I.P.
76,"Hands, Ashley",1965-03-04,f,ES,lugo,Primario,nuevo
77,"Rocilez, David",1950-04-21,m,Nc,Pontevedra,Secundario,nuevo
78,"Hodges, Antonio",1946-12-06,m,ES,MURCIA,PreUniversitario,vip
79,"Battle, Zelle",1990-10-03,f,PT,Barcelona,Primario,nuevo
80,"Sarmiento, Khushali",1943-03-06,NA,ES,huelva,PreUniversitario,V.I.P.
81,"De La Torre, Angel",1965-11-16,NA,ES,CÁDIZ,Primario,V I P
82,"Blackwood, Richard",1959-10-29,M,ES,Avila,Secundario,Comun
83,"Bessler, Carrie",1954-02-06,NA,Bz,GRANADA,Secundario,V.I.P.
84,"Smith, Shyanne",1983-09-11,f,ES,SORIA,Primario,VIP
85,"Flores, Adamina",1994-02-09,f,Pe,Zamora,Secundario,vip
86,"Flores, Esteban",1951-04-19,m,ES,Huesca,PreUniversitario,V.I.P.
87,"Reeves, Michael",1985-05-29,m,ES,Teruel,Primario,NUEVO
88,"Jones, Dominique",1991-10-25,f,ES,castellón,Universitario,V.I.P.
89,"Hayson, Daisie",1940-05-07,f,L.C.,Soria,Secundario,V.I.P.
90,"Stolley, Jaime",1953-04-19,M,ES,Valladolid,Secundario,NUEVO
91,"Bettenberg, Sierra",1955-01-19,NA,cn,valladolid,PreUniversitario,vip
92,"Goplin, Jasmine",1957-07-31,M,ES,Albacete,Universitario,V I P
93,"Valdo, Olivet",1940-11-15,f,ES,Cadiz,Universitario,COMUN
94,"Wing, Frenecy",1957-02-27,M,ES,valladolid,PreUniversitario,V.I.P.
95,"el-Zaher, Taaj",1959-12-08,NA,A.F.,GERONA,Primario,VIP
96,"Yazzie, Sydni",1973-09-20,NA,ES,CASTELLÓN,Secundario,NUEVO
97,"al-Mohammad, Ramla",1958-07-02,M,Bd,NAVARRA,Secundario,COMUN
98,"Nesser, Summer",1971-09-25,m,ES,Santa Cruz de Tenerife,Universitario,COMUN
99,"Dang, Katherine",1943-03-12,NA,ES,soria,Primario,NUEVO
100,"Searles, Marquin",1984-02-01,f,ES,JAÉN,Universitario,V I P
101,"Baek, Hailey",1970-02-02,NA,cu,Valladolid,Secundario,Común
102,"el-Amin, Yoonus",1980-04-14,F,ES,castellón,Primario,COMUN
103,"el-Sawaya, Taqiyya",1990-12-25,NA,T.V.,CUENCA,Primario,Comun
104,"Agbenyo, Uriah",1968-07-06,F,ES,VALLADOLID,PreUniversitario,V.I.P.
105,"Conder, Jose",1983-03-04,m,ES,Palencia,Universitario,Comun
106,"Corona, Christian",1991-06-06,F,ES,Jaen,Primario,VIP
107,"Delgado, Miguel",1977-01-27,F,NA,Valencia,Universitario,Común
108,"Yoo, Katherine",1940-02-20,F,ES,Pontevedra,Universitario,nuevo
109,"Kamanawa, Christie",1985-01-28,m,Sn,La Rioja,Secundario,vip
110,"Rodriguez, John",1975-12-01,NA,ES,pontevedra,PreUniversitario,COMUN
111,"Nguyen, Rikki",1984-03-10,F,ES,TARRAGONA,Secundario,Común
112,"Pigon, Rocco",1954-02-16,NA,ES,LÉRIDA,Primario,Común
113,"Olivares, Sarah",1953-04-19,f,ml,CANTABRIA,PreUniversitario,NUEVO
114,"Alford, Thomas",1971-06-01,F,ES,burgos,Primario,Común
115,"al-Massoud, Furqaan",1984-09-20,M,CZ,ALBACETE,Secundario,VIP
116,"al-Mohamed, Muhammad",1990-10-04,NA,ES,Almería,Universitario,COMUN
117,"Ellis, Alex-Andrea",1981-08-22,NA,ES,La Coruña,Secundario,nuevo
118,"el-Syed, Taqi",1959-06-30,M,ES,Salamanca,Universitario,Comun
119,"al-Salman, Mumina",1982-10-16,F,SY,Castellon,PreUniversitario,COMUN
120,"Towne, Taylor",1948-09-12,f,ES,Guadalajara,Universitario,V.I.P.
121,"Otto, Anthony",1943-12-16,NA,SI,Tarragona,Secundario,VIP
122,"Ward, Rachael",1984-03-11,M,ES,lérida,Universitario,V.I.P.
123,"Hitchcock, Brynnae",1986-07-22,f,ES,Pontevedra,Primario,vip
124,"Scott, Aja",1979-05-22,m,ES,Barcelona,Primario,V I P
125,"Wilson, Matthew",1972-11-12,f,Al,Lerida,Secundario,Nuebo
126,"Nickerson, Chelsea",1948-10-15,NA,ES,ALICANTE,Universitario,nuevo
127,"Locust, Alanna",1947-08-11,F,Om,NAVARRA,Universitario,V I P
128,"Hopkins, Zelle",1952-02-28,f,ES,Sevilla,Universitario,Comun
129,"Davis, Taiyler",1981-11-11,M,ES,Burgos,Universitario,V I P
130,"Martinson, Alexander",1972-09-26,F,ES,MURCIA,Primario,V.I.P.
131,"Maldonado, Jasmine",1985-01-11,M,Kw,castellón,Universitario,V I P
132,"Tryon, Dylan",1970-02-18,M,ES,GUIPÚZCOA,Primario,nuevo
133,"el-Samaan, Minnah",1960-07-27,m,NA,Huesca,Secundario,NUEVO
134,"Shepard, Austin",1993-08-26,NA,ES,MADRID,Secundario,COMUN
135,"Cruz, Jazmine",1981-01-24,F,ES,Burgos,Primario,NUEVO
136,"Georgoulias, Dejnag",1975-07-25,NA,ES,ALICANTE,Secundario,vip
137,"Catherman, Travis",1974-08-27,m,BJ,Alicante,PreUniversitario,VIP
138,"Milligan, Kylie",1940-02-04,m,ES,LA RIOJA,PreUniversitario,Comun
139,"Abo, Richard",1952-10-03,M,NA,albacete,Secundario,COMUN
140,"Gammel, Natalie",1971-10-10,m,ES,zaragoza,PreUniversitario,vip
141,"Hanlon, Brandon",1949-09-23,f,ES,Leon,Secundario,NUEVO
142,"el-Emami, Sharaf",1989-04-12,F,ES,HUELVA,Primario,Comun
143,"Hudson, Diana",1949-02-15,NA,ge,Jaen,Secundario,Común
144,"Marsh, Matias",1967-07-09,M,ES,Valencia,PreUniversitario,Común
145,"Church, Wesley",1968-07-21,NA,T.T.,Albacete,Primario,nuevo
146,"Briggs, Mallory",1974-10-31,m,ES,álava,Universitario,VIP
147,"al-Meskin, Rashaa",1960-10-11,f,ES,SORIA,Secundario,V I P
148,"Ballard, Olivya",1967-09-11,NA,ES,madrid,Secundario,Comun
149,"Han, Jeffrey",1973-10-07,f,D.J.,lugo,Universitario,nuevo
150,"Lodewyk, Kelby",1981-08-05,F,ES,ZARAGOZA,Primario,NUEVO
151,"May, Deonte",1967-07-20,M,Cd,Madrid,Universitario,Común
152,"Flores, Stephanny",1964-02-18,f,ES,Toledo,Secundario,nuevo
153,"Martinez, Charleen",1989-12-21,F,ES,Málaga,PreUniversitario,NUEVO
154,"Cramer, Jason",1974-10-06,F,ES,orense,Secundario,V.I.P.
155,"al-Mostafa, Sitaara",1968-09-11,F,ro,Huelva,Secundario,vip
156,"Hernandez, Jordan",1962-12-16,f,ES,La Rioja,Primario,nuevo
157,"al-Ahsan, Ummu Kulthoom",1972-04-17,m,KM,Ávila,Primario,COMUN
158,"Byers, Emily",1952-04-07,m,ES,santa cruz de tenerife,Universitario,NUEVO
159,"Sukkum, Nkaujiaong",1962-07-03,M,ES,Murcia,Secundario,Comun
160,"Valdez, Alicia",1974-02-23,m,ES,salamanca,Universitario,COMUN
161,"Salazar, Maryssa",1981-06-25,f,A.X.,Valencia,PreUniversitario,V I P
162,"Geer, Akilo",1985-08-08,F,ES,Vizcaya,PreUniversitario,vip
163,"Manfredonia, Sienna",1953-02-11,f,HN,La Rioja,Secundario,Común
164,"Wu, Sunya",1974-11-26,F,ES,orense,Secundario,nuevo
165,"Rinhart, Aurora",1942-06-27,M,ES,Cordoba,Secundario,nuevo
166,"Sayers, Joshua",1951-11-01,m,ES,Gerona,PreUniversitario,COMUN
167,"Green, Janice",1965-01-02,NA,T.C.,Soria,Secundario,nuevo
168,"Kang, Cally",1966-11-05,f,ES,Huelva,Primario,Comun
169,"Walters, Toni",1952-09-13,F,sr,guipúzcoa,Primario,vip
170,"Carrico, Calvin",1985-03-22,NA,ES,LA RIOJA,Primario,COMUN
171,"Mandonado, Kassandra",1954-02-04,m,ES,valladolid,Universitario,V.I.P.
172,"Perez, Jaime",1964-04-27,M,ES,VALLADOLID,Primario,Comun
173,"al-Salek, Jameela",1986-12-11,f,Nu,VALLADOLID,Universitario,V.I.P.
174,"Marquez, Jose",1983-05-12,f,ES,GUADALAJARA,PreUniversitario,COMUN
175,"Nguyen, Meelan",1962-08-13,m,G.I.,Lérida,Secundario,V I P
176,"Hill, Alicia",1970-10-20,NA,ES,murcia,Secundario,V.I.P.
177,"Gilmore, Miguel",1949-12-11,NA,ES,ÁLAVA,Primario,Común
178,"James, Kylie",1969-03-03,f,ES,Lugo,Universitario,Comun
179,"Montelongo-Declay, Gabriell",1965-04-16,f,AF,TOLEDO,Primario,COMUN
180,"Lopez, Melina",1984-09-13,F,ES,gerona,Universitario,Común
181,"Sabido, Alexander",1941-06-17,M,IR,LA RIOJA,Universitario,Comun
182,"Trimble, Sade",1978-05-17,F,ES,Vizcaya,PreUniversitario,VIP
183,"Vargas, Jordan",1950-12-26,NA,ES,GERONA,Secundario,Comun
184,"Aponte, Jonathan",1985-07-07,m,ES,Pontevedra,Universitario,Común
185,"el-Abdou, Abood",1981-05-29,f,to,teruel,Secundario,NUEVO
186,"Brown, Jasmine",1963-10-23,M,ES,Palencia,Primario,V.I.P.
187,"Carroll, Kyana",1954-04-22,NA,Z.A.,Salamanca,Universitario,VIP
188,"Polk, Alexis",1959-10-01,m,ES,TARRAGONA,PreUniversitario,V I P
189,"Kaur, Agnes",1945-08-20,NA,ES,albacete,Primario,Comun
190,"Egbune, Eddric",1980-09-09,F,ES,ALBACETE,Primario,VIP
191,"Lakota, Brock",1972-07-18,M,lk,Gerona,PreUniversitario,VIP
192,"Bellender, Sarah",1952-01-10,F,ES,TERUEL,PreUniversitario,nuevo
193,"Griffin, Tarra",1942-08-30,f,eh,Huesca,Secundario,VIP
194,"al-Bey, Taamir",1970-06-26,F,ES,Córdoba,Universitario,nuevo
195,"Vialpando, Joe",1990-10-03,f,ES,la rioja,PreUniversitario,COMUN
196,"Nguyen, Kristen",1990-01-20,M,ES,huesca,Primario,NUEVO
197,"Lewis, Desmond",1968-06-04,NA,MO,Salamanca,Secundario,V I P
198,"Kounnas, William",1981-05-13,f,ES,Tarragona,PreUniversitario,V I P
199,"Xiong, Hansena",1958-10-07,M,ST,sevilla,Secundario,vip
200,"Kim, Shanhuan",1965-11-21,M,ES,GUADALAJARA,Universitario,vip
201,"Lavender, Nicholas",1950-04-07,f,ES,NAVARRA,Secundario,V.I.P.
202,"Nguyen, Xinyuan",1975-11-15,f,ES,ÁLAVA,Primario,VIP
203,"Gregory, Farley",1963-10-19,NA,Ws,Lugo,Secundario,Comun
204,"Kharuhadej, Thuyvan",1984-01-29,m,ES,Sevilla,PreUniversitario,V I P
205,"Kirtley, Ethan",1957-09-09,F,ph,Huelva,Primario,Común
206,"Thailing, Kiana",1965-10-27,F,ES,Lerida,PreUniversitario,VIP
207,"Adams, Jared",1993-02-07,f,ES,LUGO,PreUniversitario,nuevo
208,"Marshall, Cheyane",1966-04-01,NA,ES,GERONA,Universitario,Común
209,"Lee, Gabe",1968-06-28,F,NA,navarra,Primario,V.I.P.
210,"Jefferson, Kamiyanna",1940-08-11,M,ES,Guadalajara,Primario,COMUN
211,"Richardson, Marion",1965-12-15,F,jm,Gerona,Primario,vip
212,"al-Khawaja, Misbaah",1987-12-17,m,ES,Valladolid,Primario,NUEVO
213,"Brown, Aisha",1972-06-09,m,ES,palencia,Universitario,COMUN
214,"Klamo, Brogan",1969-03-12,f,ES,granada,Universitario,VIP
215,"Whitlock, Briana",1953-11-29,NA,BW,Malaga,PreUniversitario,VIP
216,"el-Shariff, Ramza",1945-10-31,F,ES,Salamanca,Secundario,Comun
217,"Keys, Mamadou",1969-01-04,f,NA,ISLAS BALEARS,Primario,vip
218,"Tovar, Jessica",1954-02-14,F,ES,asturias,Universitario,NUEVO
219,"Callahan, Rosie",1977-04-10,m,ES,BADAJOZ,Secundario,NUEVO
220,"al-Rehman, Saahira",1966-12-30,f,ES,cuenca,PreUniversitario,VIP
221,"el-Hallal, Junaid",1989-03-06,m,eg,Cantabria,PreUniversitario,vip
222,"al-Dallal, Suhaila",1958-02-21,NA,ES,Cuenca,Secundario,COMUN
223,"Smith, Tashina",1993-06-08,F,Ye,Toledo,Secundario,V I P
224,"el-Ahsan, Tawheed",1990-04-29,M,ES,Burgos,Secundario,V I P
225,"el-Shehadeh, Asmar",1945-04-22,F,ES,ÁLAVA,Secundario,Común
226,"Garcia, Aurelia",1976-11-27,F,ES,Cordoba,Universitario,Común
227,"Edwards, Taneesja",1965-06-17,F,NA,asturias,Secundario,VIP
228,"Barlow, Emanuel",1981-01-22,F,ES,Murcia,Secundario,vip
229,"Kuck, Keely",1952-09-09,F,C.R.,teruel,Primario,nuevo
230,"Gardner, Ebany",1953-05-30,m,ES,SORIA,Primario,vip
231,"Wingfield, Christopher",1964-02-25,m,ES,zaragoza,Primario,VIP
232,"Hamlin, Kami",1972-09-15,M,ES,ciudad real,PreUniversitario,V.I.P.
233,"Solis Santillano, Margarita",1955-11-04,NA,TJ,Málaga,PreUniversitario,Comun
234,"Kelly, Sabrina",1985-03-04,f,ES,Teruel,Secundario,Común
235,"Nash, Ja' Drianna",1968-01-26,NA,Bd,islas balears,PreUniversitario,COMUN
236,"Cook, Grady",1972-07-08,M,ES,CANTABRIA,Secundario,Común
237,"Reifsteck, Teresa",1945-02-16,m,ES,Huesca,PreUniversitario,VIP
238,"Brooks, Vincent",1943-09-27,M,ES,Ciudad Real,PreUniversitario,NUEVO
239,"Homes, Shaquon",1962-10-18,f,MW,Tarragona,Primario,Común
240,"el-Malek, Muslih",1977-11-22,F,ES,Córdoba,PreUniversitario,V I P
241,"Lee, Ryan",1982-03-16,f,KI,Sevilla,PreUniversitario,vip
242,"Gowda, Tiffany",1981-12-26,F,ES,salamanca,Primario,V.I.P.
243,"Phoenix, Quinten",1977-03-15,M,ES,Badajoz,Primario,nuevo
244,"Chavez, Toshio",1944-07-13,NA,ES,orense,Universitario,NUEVO
245,"Ortiz, Jacob",1952-02-06,f,sz,MÁLAGA,Secundario,vip
246,"Rodriguez, Aubri",1946-02-25,M,ES,barcelona,Primario,COMUN
247,"Kim, Danny",1982-05-04,f,GI,Las Palmas,PreUniversitario,Comun
248,"Myagmarsuren, Cynthia",1988-11-10,NA,ES,La Rioja,Secundario,NUEVO
249,"Park, Taylor",1983-03-18,f,ES,álava,Primario,V.I.P.
250,"Lesnar, Trenton",1944-08-19,m,ES,Granada,PreUniversitario,V.I.P.
251,"al-Huda, Misbaah",1945-03-28,M,G.P.,Vizcaya,Universitario,V I P
252,"Laima, Valerie",1945-05-25,M,ES,Las Palmas,PreUniversitario,V.I.P.
253,"White, Courtney",1993-06-12,F,si,CÁCERES,Primario,COMUN
254,"Williams, Cornelius",1976-08-04,f,ES,cáceres,Primario,V I P
255,"Moline, Edwin",1988-02-14,m,ES,palencia,PreUniversitario,nuevo
256,"Palko, Andrew",1941-11-15,f,ES,Cantabria,PreUniversitario,COMUN
257,"Miller, Christine",1949-11-22,f,Hu,Tarragona,Primario,Comun
258,"Guzman, Albert",1984-03-30,M,ES,CIUDAD REAL,Universitario,Comun
259,"Verde, Angelita",1948-04-25,NA,bo,murcia,Primario,vip
260,"el-Amir, Abdur Raheem",1948-07-21,NA,ES,lugo,Secundario,COMUN
261,"Miller, Kamettisara",1964-02-08,NA,ES,Malaga,Primario,nuevo
262,"Ranjo, Ronald",1964-02-29,F,ES,burgos,Universitario,Común
263,"Yang, Aram",1965-06-26,NA,kw,soria,Primario,NUEVO
264,"el-Dib, Mahfooz",1981-09-03,f,ES,Tarragona,Universitario,NUEVO
265,"al-Pour, Nazmi",1959-03-10,m,T.K.,NAVARRA,PreUniversitario,V.I.P.
266,"Variale, Megan",1994-12-12,m,ES,Orense,PreUniversitario,nuevo
267,"Stockwell, Ryan",1978-03-17,F,ES,Cadiz,Universitario,Común
268,"Devito, Octavia",1964-08-01,NA,ES,Almería,PreUniversitario,VIP
269,"Pfannenstiel, Sterling",1991-12-06,f,NA,Lugo,Primario,NUEVO
270,"el-Khalili, Rahma",1990-11-27,f,ES,teruel,Universitario,NUEVO
271,"Qu, Ethan",1942-02-25,f,mh,LA RIOJA,PreUniversitario,COMUN
272,"Kauffman, Josie",1942-01-10,NA,ES,Las Palmas,Secundario,V I P
273,"Elwood, Brianna",1987-03-07,NA,ES,Sevilla,PreUniversitario,V.I.P.
274,"al-Galla, Zubaida",1950-01-17,f,ES,Pontevedra,Universitario,V.I.P.
275,"Chavez, Azalia",1987-01-02,F,gr,tarragona,Secundario,V I P
276,"Arellano, Allysia",1971-01-03,NA,ES,ISLAS BALEARS,Secundario,nuevo
277,"Tilley, Breanna",1977-11-11,f,S.J.,TARRAGONA,Primario,vip
278,"al-Kamali, Nawwaara",1944-06-03,F,ES,Tarragona,Secundario,V.I.P.
279,"Longhenry, Alexandria",1949-01-21,f,ES,Orense,Primario,V I P
280,"al-Morad, Faadil",1980-12-17,M,ES,Almería,Primario,Comun
281,"Vaughn, Brady",1965-11-23,F,CO,Navarra,Secundario,nuevo
282,"Lunka, Nicolette",1954-07-08,NA,ES,jaén,Secundario,nuevo
283,"Greenfield, Desmond",1944-07-18,m,Y.E.,lérida,Universitario,V I P
284,"Yang, Turmunkh",1974-05-11,f,ES,almería,Universitario,nuevo
285,"Lopez, Sarah",1973-09-05,F,ES,VALLADOLID,PreUniversitario,V I P
286,"al-Tamer, Nawaar",1981-09-16,f,ES,soria,Secundario,V I P
287,"Sprague, Eric",1972-11-16,f,cg,CÁCERES,Primario,vip
288,"al-Halaby, Hishaam",1953-04-22,NA,ES,castellón,Universitario,COMUN
289,"Carter, Aaron",1992-03-13,M,G.E.,Orense,Secundario,COMUN
290,"Schiller, Makayla",1985-05-09,m,ES,Pontevedra,Primario,VIP
291,"al-Murad, Yoonus",1970-07-23,f,ES,sevilla,PreUniversitario,V.I.P.
292,"Martin Del Campo Mercado, Kaitlyn",1986-10-29,f,ES,cádiz,Universitario,NUEVO
293,"Starr, Ta",1957-03-02,f,Ge,burgos,Universitario,V I P
294,"Gutierrez, Alan",1963-06-19,F,ES,Vizcaya,Primario,VIP
295,"Henry, Deja",1981-08-03,m,FO,ZARAGOZA,Primario,V I P
296,"Merchant, David",1955-11-01,M,ES,Murcia,Universitario,NUEVO
297,"el-Rahmani, Abdul Jabbaar",1957-05-17,NA,ES,Almeria,Primario,Comun
298,"Beard, Angel",1978-03-06,M,ES,la rioja,Primario,Comun
299,"Dunlap, Ashley",1989-12-10,f,BY,palencia,PreUniversitario,nuevo
300,"Carroll, Marcus",1943-09-12,m,ES,Barcelona,Universitario,NUEVO
301,"Moore, Clarke",1947-09-02,F,NA,ALICANTE,PreUniversitario,Común
302,"el-Massoud, Shaafia",1948-04-24,m,ES,Malaga,Secundario,V I P
303,"Mccarty, Kelli",1943-02-28,F,ES,HUESCA,Secundario,V I P
304,"Rivera, Donovan",1980-10-04,f,ES,VALLADOLID,Universitario,Comun
305,"Vasquez, Randy",1972-05-17,m,MM,Cantabria,Universitario,V I P
306,"Michaels, Colin",1954-02-06,NA,ES,Soria,Primario,nuevo
307,"Roybal, Mauricio",1968-09-04,f,HU,BADAJOZ,Universitario,VIP
308,"Cable, Lolita",1977-01-27,m,ES,Vizcaya,PreUniversitario,COMUN
309,"el-Sultan, Ghaaziya",1955-04-22,m,ES,toledo,PreUniversitario,nuevo
310,"Montano, Mariana",1956-04-28,M,ES,Navarra,Primario,COMUN
311,"Nguyen, Hannah",1987-03-23,f,BB,león,Primario,NUEVO
312,"Hinson, Mutadi",1950-09-06,M,ES,CANTABRIA,Primario,VIP
313,"Gruzinski, Lilia",1958-01-13,F,P.H.,Almeria,Primario,V.I.P.
314,"Orta, Alejandro",1956-08-07,f,ES,cuenca,Primario,vip
315,"Korsa, Aaron",1961-08-25,F,ES,León,Secundario,V I P
316,"Ballins, Calvin",1988-07-25,f,ES,ÁVILA,PreUniversitario,Común
317,"Stapleton, Jessandra",1966-07-12,F,NO,SANTA CRUZ DE TENERIFE,Primario,V I P
318,"Cooks, Chalese",1991-06-28,f,ES,GUIPÚZCOA,Primario,Común
319,"al-Jalali, Izza",1973-04-27,f,Py,Barcelona,Secundario,V.I.P.
320,"Vasquez, Jeremiah",1961-09-22,F,ES,LAS PALMAS,Secundario,vip
321,"Naranjo, Alysia",1988-03-26,NA,ES,santa cruz de tenerife,Universitario,Comun
322,"al-Saba, Jawhara",1973-11-01,F,ES,Cantabria,PreUniversitario,V.I.P.
323,"Steketee, Tyler",1994-11-26,f,tk,BARCELONA,Universitario,nuevo
324,"Graham, Kevin",1981-05-03,NA,ES,CÁDIZ,Secundario,COMUN
325,"Gay, Alyssa",1993-06-28,M,na,huesca,PreUniversitario,VIP
326,"Otsuki, Angelica",1962-07-22,F,ES,Barcelona,Secundario,Comun
327,"el-Faris, Marzooqa",1969-05-23,NA,ES,Palencia,PreUniversitario,NUEVO
328,"Yazzie, Samantha",1969-08-27,m,ES,Alicante,Secundario,nuevo
329,"Ankomah, Jazmine",1967-02-01,M,NA,Malaga,Universitario,V I P
330,"Brown, Nickalos",1974-07-19,NA,ES,GUIPÚZCOA,Secundario,V.I.P.
331,"el-Shaban, Ramza",1972-09-18,F,mm,Cordoba,Universitario,NUEVO
332,"Unruh, Jennifer",1949-07-13,f,ES,Guipúzcoa,PreUniversitario,Común
